,id,forum,number,title,abstract,authors,authorids,venue,venueid,primary_area,pdf,cdate_iso,pdate_iso,mdate_iso,openreview_url,institutions
3532,OJximyClit,OJximyClit,2527,Enhancing Zero-Shot Vision Models by Label-Free Prompt Distribution Learning and Bias Correcting,"Vision-language models, such as CLIP, have shown impressive generalization capacities when using appropriate text descriptions. While optimizing prompts on downstream labeled data has proven effective in improving performance, these methods entail labor costs for annotations and are limited by their quality. Additionally, since CLIP is pre-trained on highly imbalanced Web-scale data, it suffers from inherent label bias that leads to suboptimal performance. 
 To tackle the above challenges, we propose a label-**F**ree p**ro**mpt distribution **l**earning and b**i**as **c**orrection framework, dubbed as **Frolic**, which boosts zero-shot performance without the need for labeled data. Specifically, our Frolic learns distributions over prompt prototypes to capture diverse visual representations and adaptively fuses these with the original CLIP through confidence matching.
This fused model is further enhanced by correcting label bias via a label-free logit adjustment. Notably, our method is not only training-free but also circumvents the necessity for hyper-parameter tuning. Extensive experimental results across 16 datasets demonstrate the efficacy of our approach, particularly outperforming the state-of-the-art by an average of $2.6\%$ on 10 datasets with CLIP ViT-B/16 and achieving an average margin of $1.5\%$ on ImageNet and its five distribution shifts with CLIP ViT-B/16. Codes are available in [https://github.com/zhuhsingyuu/Frolic](https://github.com/zhuhsingyuu/Frolic).",Xingyu Zhu; Beier Zhu; Yi Tan; Shuo Wang; Yanbin Hao; Hanwang Zhang,~Xingyu_Zhu3; ~Beier_Zhu1; ~Yi_Tan3; ~Shuo_Wang9; ~Yanbin_Hao1; ~Hanwang_Zhang3,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/54c3f930bd6bd6781016e4f882d4e6d9e00ab910.pdf,2024-05-07T13:49:34.989000,2024-09-25T18:08:12.686000,2024-11-06T06:17:38.829000,https://openreview.net/forum?id=OJximyClit,University of Science and Technology of China; Nanyang Technological University; University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China; Nanyang Technological University
3563,x7pjdDod6Z,x7pjdDod6Z,2381,MeshFormer : High-Quality Mesh Generation with 3D-Guided Reconstruction Model,"Open-world 3D reconstruction models have recently garnered significant attention. However, without sufficient 3D inductive bias, existing methods typically entail expensive training costs and struggle to extract high-quality 3D meshes. In this work, we introduce MeshFormer, a sparse-view reconstruction model that explicitly leverages 3D native structure, input guidance, and training supervision. Specifically, instead of using a triplane representation, we store features in 3D sparse voxels and combine transformers with 3D convolutions to leverage an explicit 3D structure and projective bias. In addition to sparse-view RGB input, we require the network to take input and generate corresponding normal maps. The input normal maps can be predicted by 2D diffusion models, significantly aiding in the guidance and refinement of the geometry's learning. Moreover, by combining Signed Distance Function (SDF) supervision with surface rendering, we directly learn to generate high-quality meshes without the need for complex multi-stage training processes. By incorporating these explicit 3D biases, MeshFormer can be trained efficiently and deliver high-quality textured meshes with fine-grained geometric details. It can also be integrated with 2D diffusion models to enable fast single-image-to-3D and text-to-3D tasks. **Videos are available at https://meshformer3d.github.io/**",Minghua Liu; Chong Zeng; Xinyue Wei; Ruoxi Shi; Linghao Chen; Chao Xu; Mengqi Zhang; Zhaoning Wang; Xiaoshuai Zhang; Isabella Liu; Hongzhi Wu; Hao Su,~Minghua_Liu1; ~Chong_Zeng1; ~Xinyue_Wei1; ~Ruoxi_Shi1; ~Linghao_Chen2; ~Chao_Xu6; ~Mengqi_Zhang2; ~Zhaoning_Wang2; ~Xiaoshuai_Zhang1; ~Isabella_Liu1; ~Hongzhi_Wu1; ~Hao_Su1,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,machine_vision,/pdf/0137993914b1c34b105ba8ce5545d99389e3b12a.pdf,2024-05-07T05:38:32.325000,2024-09-25T18:08:08.948000,2024-11-06T06:17:37.622000,https://openreview.net/forum?id=x7pjdDod6Z,"Hillbot; University of California, San Diego; Zhejiang University; University of California, San Diego; University of California, San Diego; University of California, San Diego; Hillbot; Zhejiang University; Georgia Institute of Technology; Hillbot; University of Central Florida; Hillbot; University of California, San Diego; University of California, San Diego; Zhejiang University; University of California, San Diego"
3568,zGN0YWy2he,zGN0YWy2he,2335,Scene Graph Disentanglement and Composition for Generalizable Complex Image Generation,"There has been exciting progress in generating images from natural language or layout conditions. However, these methods struggle to faithfully reproduce complex scenes due to the insufficient modeling of multiple objects and their relationships. To address this issue, we leverage the scene graph, a powerful structured representation, for complex image generation. Different from the previous works that directly use scene graphs for generation, we employ the generative capabilities of variational autoencoders and diffusion models in a generalizable manner, compositing diverse disentangled visual clues from scene graphs. Specifically, we first propose a Semantics-Layout Variational AutoEncoder (SL-VAE) to jointly derive (layouts, semantics) from the input scene graph, which allows a more diverse and reasonable generation in a one-to-many mapping. We then develop a Compositional Masked Attention (CMA) integrated with a diffusion model, incorporating (layouts, semantics) with fine-grained attributes as generation guidance. To further achieve graph manipulation while keeping the visual content consistent, we introduce a Multi-Layered Sampler (MLS) for an ""isolated"" image editing effect. Extensive experiments demonstrate that our method outperforms recent competitors based on text, layout, or scene graph, in terms of generation rationality and controllability.",Yunnan Wang; Ziqiang Li; Wenyao Zhang; Zequn Zhang; Baao Xie; Xihui Liu; Wenjun Zeng; Xin Jin,~Yunnan_Wang1; ~Ziqiang_Li3; ~Wenyao_Zhang1; ~Zequn_Zhang1; ~Baao_Xie3; ~Xihui_Liu1; ~Wenjun_Zeng3; ~Xin_Jin8,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,generative_models,/pdf/66bc4339c157f7e9cfc224307ac92ad79e98a4b8.pdf,2024-05-07T01:51:09.461000,2024-09-25T18:08:07.424000,2024-11-06T06:17:37.445000,https://openreview.net/forum?id=zGN0YWy2he,"Eastern Institute of Technology, Ningbo; Ant Group; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University; University of Science and Technology of China; Ningbo Institute of Digital Twin; University of Hong Kong; Eastern Institute of Technology, Ningbo; Eastern Institute of Technology, Ningbo"
3578,kf80ZS3fVy,kf80ZS3fVy,2278,Towards Unified Multimodal Editing with Enhanced Knowledge Collaboration,"The swift advancement in Multimodal LLMs (MLLMs) also presents significant challenges for effective knowledge editing. Current methods, including intrinsic knowledge editing and external knowledge resorting, each possess strengths and weaknesses, struggling to balance the desired properties of reliability, generality, and locality when applied to MLLMs. In this paper, we propose \textbf{UniKE}, a novel multimodal editing method that establishes a unified perspective and paradigm for intrinsic knowledge editing and external knowledge resorting. Both types of knowledge are conceptualized as vectorized key-value memories, with the corresponding editing processes resembling the assimilation and accommodation phases of human cognition, conducted at the same semantic levels.  Within such a unified framework, we further promote knowledge collaboration by disentangling the knowledge representations into the semantic and truthfulness spaces. Extensive experiments validate the effectiveness of our method, which ensures that the post-edit MLLM simultaneously maintains excellent reliability, generality, and locality. The code for UniKE is available at https://github.com/beepkh/UniKE.",Kaihang Pan; Zhaoyu Fan; Juncheng Li; Qifan Yu; Hao Fei; Siliang Tang; Richang Hong; Hanwang Zhang; Qianru Sun,~Kaihang_Pan1; ~Zhaoyu_Fan1; ~Juncheng_Li3; ~Qifan_Yu1; ~Hao_Fei1; ~Siliang_Tang1; ~Richang_Hong1; ~Hanwang_Zhang3; ~Qianru_Sun2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/97d46003efdb73c62ba270d8ea1a2c70c2afea04.pdf,2024-05-06T17:08:27.839000,2024-09-25T18:08:05.743000,2024-11-06T06:17:37.077000,https://openreview.net/forum?id=kf80ZS3fVy,Zhejiang University; Zhejiang University; Zhejiang University; National University of Singapore; Zhejiang University; National University of Singapore; Zhejiang University; Hefei University of Technology; Nanyang Technological University; Singapore Management University
3594,gHYhVSCtDH,gHYhVSCtDH,2210,Voxel Mamba: Group-Free State Space Models for Point Cloud based 3D Object Detection,"Serialization-based methods, which serialize the 3D voxels and group them into multiple sequences before inputting to Transformers, have demonstrated their effectiveness in 3D object detection. However, serializing 3D voxels into 1D sequences will inevitably sacrifice the voxel spatial proximity. Such an issue is hard to be addressed by enlarging the group size with existing serialization-based methods due to the quadratic complexity of Transformers with feature sizes. Inspired by the recent advances of state space models (SSMs), we present a Voxel SSM, termed as Voxel Mamba, which employs a group-free strategy to serialize the whole space of voxels into a single sequence. The linear complexity of SSMs encourages our group-free design, alleviating the loss of spatial proximity of voxels. To further enhance the spatial proximity, we propose a Dual-scale SSM Block to establish a hierarchical structure, enabling a larger receptive field in the 1D serialization curve, as well as more complete local regions in 3D space. Moreover, we implicitly apply window partition under the group-free framework by positional encoding, which further enhances spatial proximity by encoding voxel positional information. Our experiments on Waymo Open Dataset and nuScenes dataset show that Voxel Mamba not only achieves higher accuracy than state-of-the-art methods, but also demonstrates significant advantages in computational efficiency. The source code is available at https://github.com/gwenzhang/Voxel-Mamba.",Guowen Zhang; Lue Fan; Chenhang HE; Zhen Lei; Zhaoxiang Zhang; Lei Zhang,~Guowen_Zhang1; ~Lue_Fan1; ~Chenhang_HE1; ~Zhen_Lei2; ~Zhaoxiang_Zhang3; ~Lei_Zhang2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/0cd37d7602d988cb025ea9d85f62abe79ef5139d.pdf,2024-05-06T11:36:09.671000,2024-09-25T18:08:03.873000,2024-11-06T06:17:36.414000,https://openreview.net/forum?id=gHYhVSCtDH,Hong Kong Polytechnic University; University of Chinese Academy of Sciences; Hong Kong Polytechnic University; University of Chinese Academy of Sciences; University of Chinese Academy of Sciences; Hong Kong Polytechnic University
3612,i1xjK5a0X8,i1xjK5a0X8,2128,PCP-MAE: Learning to Predict Centers for Point Masked Autoencoders,"Masked autoencoder has been widely explored in point cloud self-supervised learning, whereby the point cloud is generally divided into visible and masked parts. These methods typically include an encoder accepting visible patches (normalized) and corresponding patch centers (position) as input, with the decoder accepting the output of the encoder and the centers (position) of the masked parts to reconstruct each point in the masked patches. Then, the pre-trained encoders are used for downstream tasks. In this paper, we show a motivating empirical result that when directly feeding the centers of masked patches to the decoder without information from the encoder, it still reconstructs well. In other words, the centers of patches are important and the reconstruction objective does not necessarily rely on representations of the encoder, thus preventing the encoder from learning semantic representations. Based on this key observation, we propose a simple yet effective method, $i.e.$, learning to \textbf{P}redict \textbf{C}enters for \textbf{P}oint \textbf{M}asked \textbf{A}uto\textbf{E}ncoders (\textbf{PCP-MAE}) which guides the model to learn to predict the significant centers and use the predicted centers to replace the directly provided centers. Specifically, we propose a Predicting Center Module (PCM) that shares parameters with the original encoder with extra cross-attention to predict centers. Our method is of high pre-training efficiency compared to other alternatives and achieves great improvement over Point-MAE, particularly surpassing it by \textbf{5.50\% on OBJ-BG, 6.03\% on OBJ-ONLY, and 5.17\% on PB-T50-RS} for 3D object classification on the ScanObjectNN dataset. The code is available at \url{https://github.com/aHapBean/PCP-MAE}.",Xiangdong Zhang; Shaofeng Zhang; Junchi Yan,~Xiangdong_Zhang3; ~Shaofeng_Zhang1; ~Junchi_Yan2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/b818d048207faef6da67184389f8afb17b0ec9c3.pdf,2024-05-06T07:44:54.077000,2024-09-25T18:08:01.753000,2024-11-06T06:17:35.496000,https://openreview.net/forum?id=i1xjK5a0X8,Shandong University; Shanghai Artificial Intelligence Laboratory; Shanghai Jiao Tong University; Shanghai Jiao Tong University; Shanghai Jiao Tong University
3626,tnh4LK72yj,tnh4LK72yj,2077,Get Rid of Isolation: A Continuous Multi-task Spatio-Temporal Learning Framework,"Spatiotemporal learning has become a pivotal technique to enable urban intelligence. Traditional spatiotemporal models mostly focus on a specific task by assuming a same distribution between training and testing sets. However, given that urban systems are usually dynamic, multi-sourced with imbalanced data distributions, current specific task-specific models fail to generalize to new urban conditions and adapt to new domains without explicitly modeling interdependencies across various dimensions and types of urban data. To this end, we argue that there is an essential to propose a Continuous Multi-task Spatio-Temporal learning framework (CMuST) to empower  collective urban intelligence, which  reforms the urban spatiotemporal learning from single-domain  to cooperatively multi-dimensional and multi-task learning. Specifically, CMuST proposes a new multi-dimensional spatiotemporal interaction network (MSTI) to allow cross-interactions between context and main observations as well as  self-interactions within spatial and temporal aspects  to be  exposed, which is also the core for capturing task-level commonality and personalization. To ensure continuous task learning, a novel Rolling Adaptation training scheme (RoAda) is devised, which not only preserves task uniqueness by constructing data summarization-driven task prompts, but also harnesses correlated patterns among tasks  by iterative model behavior modeling. We further establish a benchmark of three cities for multi-task spatiotemporal learning, and empirically demonstrate the superiority of CMuST via extensive evaluations on these datasets. The impressive improvements on both few-shot streaming data and new domain tasks against existing SOAT methods are achieved. Code is available at https://github.com/DILab-USTCSZ/CMuST.",Zhongchao Yi; Zhengyang Zhou; Qihe Huang; Yanjiang Chen; Liheng Yu; Xu Wang; Yang Wang,~Zhongchao_Yi1; ~Zhengyang_Zhou1; ~Qihe_Huang2; ~Yanjiang_Chen1; ~Liheng_Yu1; ~Xu_Wang16; ~Yang_Wang32,NeurIPS 2024 oral,NeurIPS.cc/2024/Conference,machine_learning_for_other_sciences_and_fields,/pdf/97148ef3439d4c09aeb2847ed85a61ab7bd105d9.pdf,2024-05-06T03:47:39.278000,2024-09-25T18:08:00.168000,2024-12-21T03:19:46.833000,https://openreview.net/forum?id=tnh4LK72yj,University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China; University of Science and Technology of China
3653,uwSaDHLlYc,uwSaDHLlYc,1946,Diversity-Driven Synthesis: Enhancing Dataset Distillation through Directed Weight Adjustment,"The sharp increase in data-related expenses has motivated research into condensing datasets while retaining the most informative features. Dataset distillation has thus recently come to the fore. This paradigm generates synthetic datasets that are representative enough to replace the original dataset in training a neural network. To avoid redundancy in these synthetic datasets, it is crucial that each element contains unique features and remains diverse from others during the synthesis stage. In this paper, we provide a thorough theoretical and empirical analysis of diversity within synthesized datasets. We argue that enhancing diversity can improve the parallelizable yet isolated synthesizing approach. Specifically, we introduce a novel method that employs dynamic and directed weight adjustment techniques to modulate the synthesis process, thereby maximizing the representativeness and diversity of each synthetic instance. Our method ensures that each batch of synthetic data mirrors the characteristics of a large, varying subset of the original dataset. Extensive experiments across multiple datasets, including CIFAR, Tiny-ImageNet, and ImageNet-1K, demonstrate the superior performance of our method, highlighting its effectiveness in producing diverse and representative synthetic datasets with minimal computational expense. Our code is available at https://github.com/AngusDujw/Diversity-Driven-Synthesis.",Jiawei Du; Xin Zhang; Juncheng Hu; Wenxin Huang; Joey Tianyi Zhou,~Jiawei_Du1; ~Xin_Zhang29; ~Juncheng_Hu1; ~Wenxin_Huang1; ~Joey_Tianyi_Zhou1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,optimization,/pdf/15929c1e779391b46cb1e2a2780b2c8c2975171b.pdf,2024-05-05T09:52:27.045000,2024-09-25T18:07:56.288000,2024-11-19T01:42:38.439000,https://openreview.net/forum?id=uwSaDHLlYc,A*STAR; Xidian University; A*STAR; National University of Singapore; Northwestern Polytechnical University; Hubei University; A*STAR
3675,I6tBNcJE2F,I6tBNcJE2F,1840,Real-world Image Dehazing with Coherence-based Pseudo Labeling and Cooperative Unfolding Network,"Real-world Image Dehazing (RID) aims to alleviate haze-induced degradation in real-world settings. This task remains challenging due to the complexities in accurately modeling real haze distributions and the scarcity of paired real-world data. To address these challenges, we first introduce a cooperative unfolding network that jointly models atmospheric scattering and image scenes, effectively integrating physical knowledge into deep networks to restore haze-contaminated details. Additionally, we propose the first RID-oriented iterative mean-teacher framework, termed the Coherence-based Label Generator, to generate high-quality pseudo labels for network training. Specifically, we provide an optimal label pool to store the best pseudo-labels during network training, leveraging both global and local coherence to select high-quality candidates and assign weights to prioritize haze-free regions. We verify the effectiveness of our method, with experiments demonstrating that it achieves state-of-the-art performance on RID tasks. Code will be available at https://github.com/cnyvfang/CORUN-Colabator.",Chengyu Fang; Chunming He; Fengyang Xiao; Yulun Zhang; Longxiang Tang; Yuelin Zhang; Kai Li; Xiu Li,~Chengyu_Fang3; ~Chunming_He1; ~Fengyang_Xiao1; ~Yulun_Zhang1; ~Longxiang_Tang1; ~Yuelin_Zhang1; ~Kai_Li11; ~Xiu_Li1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/13a77685b055136f270a3312d0a20e581c8da7ea.pdf,2024-05-04T16:14:42.189000,2024-09-25T18:07:53.108000,2024-12-20T08:14:30.763000,https://openreview.net/forum?id=I6tBNcJE2F,"Southwest University; Tsinghua University, Beijing; Tsinghua University, Beijing; Duke University; Sun Yat-sen University; ETH Zurich; Shanghai Jiao Tong University; Tsinghua University, Beijing; Chinese University of Hong Kong; NEC Laboratories, America; Tsinghua University, Beijing"
3697,STrpbhrvt3,STrpbhrvt3,1760,A Textbook Remedy for Domain Shifts: Knowledge Priors for Medical Image Analysis,"While deep networks have achieved broad success in analyzing natural images, when applied to medical scans, they often fail in unexcepted situations. We investigate this challenge and focus on model sensitivity to domain shifts, such as data sampled from different hospitals or data confounded by demographic variables such as sex, race, etc, in the context of chest X-rays and skin lesion images. A key finding we show empirically is that existing visual backbones lack an appropriate prior from the architecture for reliable generalization in these settings. Taking inspiration from medical training, we propose giving deep networks a prior grounded in explicit medical knowledge communicated in natural language. To this end, we introduce Knowledge-enhanced Bottlenecks (KnoBo), a class of concept bottleneck models that incorporates knowledge priors that constrain it to reason with clinically relevant factors found in medical textbooks or PubMed. KnoBo uses retrieval-augmented language models to design an appropriate concept space paired with an automatic training procedure for recognizing the concept. We evaluate different resources of knowledge and recognition architectures on a broad range of domain shifts across 20 datasets. In our comprehensive evaluation with two imaging modalities, KnoBo outperforms fine-tuned models on confounded datasets by 32.4% on average. Finally, evaluations reveal that PubMed is a promising resource for making medical models less sensitive to domain shift, outperforming other resources on both diversity of information and final prediction performance.",Yue Yang; Mona Gandhi; Yufei Wang; Yifan Wu; Michael S Yao; Chris Callison-Burch; James Gee; Mark Yatskar,~Yue_Yang3; ~Mona_Gandhi1; ~Yufei_Wang11; ~Yifan_Wu4; ~Michael_S_Yao1; ~Chris_Callison-Burch1; ~James_Gee1; ~Mark_Yatskar1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,interpretability_and_explainability,/pdf/22b58e051cda38cd27de0e141f4f341514cce55a.pdf,2024-05-04T02:57:25.085000,2024-09-25T18:07:50.595000,2024-11-06T06:17:31.732000,https://openreview.net/forum?id=STrpbhrvt3,University of Pennsylvania; University of Pennsylvania; The Ohio State University; University of Pittsburgh; University of Pennsylvania; Meta; University of Pennsylvania; University of Pennsylvania; Allen Institute; University of Pennsylvania; University of Pennsylvania
3703,5jRU8ufi8H,5jRU8ufi8H,1726,Unlocking Tokens as Data Points for Generalization Bounds on Larger Language Models,"Large language models (LLMs) with billions of parameters excel at predicting the next token in a sequence. Recent work computes non-vacuous compression-based generalization bounds for LLMs, but these bounds are vacuous for large models at the billion-parameter scale. Moreover, these bounds are obtained through restrictive compression techniques, bounding compressed models that generate low-quality text. Additionally, the tightness of these existing bounds depends on the number of IID documents in a training set rather than the much larger number of non-IID constituent tokens, leaving untapped potential for tighter bounds. In this work, we instead use properties of martingales to derive generalization bounds that benefit from the vast number of tokens in LLM training sets. Since a dataset contains far more tokens than documents, our generalization bounds not only tolerate but actually benefit from far less restrictive compression schemes. With Monarch matrices, Kronecker factorizations, and post-training quantization, we achieve non-vacuous generalization bounds for LLMs as large as LLaMA2-70B. Unlike previous approaches, our work achieves the first non-vacuous bounds for models that are deployed in practice and generate high-quality text.",Sanae Lotfi; Yilun Kuang; Marc Anton Finzi; Brandon Amos; Micah Goldblum; Andrew Gordon Wilson,~Sanae_Lotfi1; ~Yilun_Kuang1; ~Marc_Anton_Finzi1; ~Brandon_Amos1; ~Micah_Goldblum1; ~Andrew_Gordon_Wilson1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,generative_models,/pdf/1792e33e3f87cbfc2fc18118f236e384f1489112.pdf,2024-05-03T19:36:07.681000,2024-09-25T18:07:49.509000,2024-11-06T06:17:31.447000,https://openreview.net/forum?id=5jRU8ufi8H,New York University; New York University; Carnegie Mellon University; Meta; New York University; Columbia University; New York University
3704,k9PXsryuWG,k9PXsryuWG,1720,Metric Transforms and Low Rank Representations of Kernels for Fast Attention,"We introduce a new linear-algebraic tool based on group representation theory, and use it to address three key problems in machine learning.

1. Past researchers have proposed fast attention algorithms for LLMs by approximating or replace softmax attention with other functions, such as low-degree polynomials. The key property of these functions is that, when applied entry-wise to the matrix $QK^{\top}$, the result is a low rank matrix when $Q$ and $K$ are $n \times d$ matrices and $n \gg d$. This suggests a natural question: what are all functions $f$ with this property? If other $f$ exist and are quickly computable, they can be used in place of softmax for fast subquadratic attention algorithms. It was previously known that low-degree polynomials have this property. We prove that low-degree polynomials are the only piecewise continuous functions with this property. This suggests that the low-rank fast attention only works for functions approximable by polynomials. Our work gives a converse to the polynomial method in algorithm design.

2. We prove the first full classification of all positive definite kernels that are functions of Manhattan or $\ell_1$ distance. Our work generalizes an existing theorem at the heart of all kernel methods in machine learning: the classification of all positive definite kernels that are functions of Euclidean distance. 

3. The key problem in metric transforms, a mathematical theory used in geometry and machine learning, asks what functions transform pairwise distances in semi-metric space $M$ to semi-metric space $N$ for specified $M$ and $N$. We provide the first full classification of functions that transform Manhattan distances to Manhattan distances. Our work generalizes the foundational work of Schoenberg, which fully classifies functions that transform Euclidean to Euclidean distances.
 
We additionally prove results about stable-rank preserving functions that are potentially useful in algorithmic design, and more. Our core new tool is called the representation theory of the hyperrectangle.",Timothy Zer-An Chu; Josh Alman; Gary Miller; Shyam Narayanan; Mark Sellke; Zhao Song,~Timothy_Zer-An_Chu1; ~Josh_Alman1; ~Gary_Miller1; ~Shyam_Narayanan1; ~Mark_Sellke1; ~Zhao_Song3,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,learning_theory,/pdf/f786c80be037eb55165d1a67bfb4db0a35bff5f5.pdf,2024-05-03T18:30:58.722000,2024-09-25T18:07:49.354000,2024-11-06T06:17:31.406000,https://openreview.net/forum?id=k9PXsryuWG,"AAAS; Columbia University; Harvard University; Adobe Systems; University of California, Berkeley"
3711,E7fZOoiEKl,E7fZOoiEKl,1696,FuseFL: One-Shot Federated Learning through the Lens of Causality with Progressive Model Fusion,"One-shot Federated Learning (OFL) significantly reduces communication costs in FL by aggregating trained models only once. However, the performance of advanced OFL methods is far behind the normal FL. In this work, we provide a causal view to find that this performance drop of OFL methods comes from the isolation problem, which means that local isolatedly trained models in OFL may easily fit to spurious correlations due to the data heterogeneity. From the causal perspective, we observe that the spurious fitting can be alleviated by augmenting intermediate features from other clients. Built upon our observation, we propose a novel learning approach to endow OFL with superb performance and low communication and storage costs, termed as FuseFL. Specifically, FuseFL decomposes neural networks into several blocks, and progressively trains and fuses each block following a bottom-up manner for feature augmentation, introducing no additional communication costs. Comprehensive experiments demonstrate that FuseFL outperforms existing OFL and ensemble FL by a significant margin. We conduct comprehensive experiments to show that FuseFL supports high scalability of clients, heterogeneous model training, and low memory costs. Our work is the first attempt using causality to analyze and alleviate data heterogeneity of OFL.",Zhenheng Tang; Yonggang Zhang; Peijie Dong; Yiu-ming Cheung; Amelie Chi Zhou; Bo Han; Xiaowen Chu,~Zhenheng_Tang2; ~Yonggang_Zhang1; ~Peijie_Dong1; ~Yiu-ming_Cheung1; ~Amelie_Chi_Zhou1; ~Bo_Han1; ~Xiaowen_Chu2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,other,/pdf/2dcd01b177fcc5f2911ee510759f5216521ba49a.pdf,2024-05-03T15:26:47.695000,2024-09-25T18:07:48.662000,2024-11-06T06:17:31.139000,https://openreview.net/forum?id=E7fZOoiEKl,Hong Kong University of Science and Technology(Guangzhou); Hong Kong Baptist University; Hong Kong Baptist University; Hong Kong University of Science and Technology(Guangzhou); Hong Kong Baptist University; Hong Kong Baptist University; Hong Kong Baptist University; Mohamed bin Zayed University of Artificial Intelligence; RIKEN; Hong Kong University of Science and Technology(Guangzhou)
3718,p3gMGkHMkM,p3gMGkHMkM,1654,Particle Semi-Implicit Variational Inference,"Semi-implicit variational inference (SIVI) enriches the expressiveness of variational
families by utilizing a kernel and a mixing distribution to hierarchically define the
variational distribution. Existing SIVI methods parameterize the mixing distribution
using implicit distributions, leading to intractable variational densities. As a result,
directly maximizing the evidence lower bound (ELBO) is not possible, so they
resort to one of the following: optimizing bounds on the ELBO, employing costly
inner-loop Markov chain Monte Carlo runs, or solving minimax objectives. In this
paper, we propose a novel method for SIVI called Particle Variational Inference
(PVI) which employs empirical measures to approximate the optimal mixing
distributions characterized as the minimizer of a free energy functional. PVI arises
naturally as a particle approximation of a Euclidean–Wasserstein gradient flow and,
unlike prior works, it directly optimizes the ELBO whilst making no parametric
assumption about the mixing distribution. Our empirical results demonstrate that
PVI performs favourably compared to other SIVI methods across various tasks.
Moreover, we provide a theoretical analysis of the behaviour of the gradient flow
of a related free energy functional: establishing the existence and uniqueness of
solutions as well as propagation of chaos results.",Jen Ning Lim; Adam Michael Johansen,~Jen_Ning_Lim1; ~Adam_Michael_Johansen1,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,probabilistic_methods,/pdf/5eb4c3bb21789c23444061ea4b22d94c6a4852a1.pdf,2024-05-03T11:40:30.283000,2024-09-25T18:07:47.522000,2025-01-14T17:05:55.037000,https://openreview.net/forum?id=p3gMGkHMkM,University of Warwick
3723,XUAcPEaeBU,XUAcPEaeBU,1632,PhoCoLens: Photorealistic and Consistent Reconstruction in Lensless Imaging,"Lensless cameras offer significant advantages in size, weight, and cost compared to traditional lens-based systems. Without a focusing lens, lensless cameras rely on computational algorithms to recover the scenes from multiplexed measurements. However, current algorithms struggle with inaccurate forward imaging models and insufficient priors to reconstruct high-quality images. To overcome these limitations, we introduce a novel two-stage approach for consistent and photorealistic lensless image reconstruction. The first stage of our approach ensures data consistency by focusing on accurately reconstructing the low-frequency content with a spatially varying deconvolution method that adjusts to changes in the Point Spread Function (PSF) across the camera's field of view. The second stage enhances photorealism by incorporating a generative prior from pre-trained diffusion models. By conditioning on the low-frequency content retrieved in the first stage, the diffusion model effectively reconstructs the high-frequency details that are typically lost in the lensless imaging process, while also maintaining image fidelity. Our method achieves a superior balance between data fidelity and visual quality compared to existing methods, as demonstrated with two popular lensless systems, PhlatCam and DiffuserCam.",Xin Cai; Zhiyuan You; Hailong Zhang; Jinwei Gu; Wentao Liu; Tianfan Xue,~Xin_Cai2; ~Zhiyuan_You1; ~Hailong_Zhang1; ~Jinwei_Gu1; ~Wentao_Liu1; ~Tianfan_Xue2,NeurIPS 2024 spotlight,NeurIPS.cc/2024/Conference,machine_vision,/pdf/0bd0332633ec91c508ca7408976908dbed56509e.pdf,2024-05-03T08:26:56.193000,2024-09-25T18:07:46.745000,2024-11-06T06:17:30.614000,https://openreview.net/forum?id=XUAcPEaeBU,"Chinese University of Hong Kong; Chinese University of Hong Kong; Tsinghua University, Beijing; Chinese University of Hong Kong; NVIDIA; SenseTime Research; Chinese University of Hong Kong"
